Epoch 1/20, Average Loss: 0.7415
Epoch 2/20, Average Loss: 0.3327
Epoch 3/20, Average Loss: 0.1663
Epoch 4/20, Average Loss: 0.0937
Epoch 5/20, Average Loss: 0.0408
Epoch 6/20, Average Loss: 0.0119
Epoch 7/20, Average Loss: 0.0092
Epoch 8/20, Average Loss: 0.0072
Epoch 9/20, Average Loss: 0.0051
Epoch 10/20, Average Loss: 0.0051
Epoch 11/20, Average Loss: 0.0047
Epoch 12/20, Average Loss: 0.0051
Epoch 13/20, Average Loss: 0.0028
Epoch 14/20, Average Loss: 0.0051
Epoch 15/20, Average Loss: 0.0037
Epoch 16/20, Average Loss: 0.0034
Epoch 17/20, Average Loss: 0.0033
Epoch 18/20, Average Loss: 0.0029
Epoch 19/20, Average Loss: 0.0032
Epoch 20/20, Average Loss: 0.0025
